Stage,Cycle,Instr,Op,Fct3,Fct7,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
Fetch,1,,,,,,,,,,,,,,,,
Decode,2,lw,3,2,,7,10,,0,,,,,,,,
Execute,3,lw,3,2,,7,10,,0,,,,,,,,
Memory,4,lw,3,2,,7,10,,0,,,,,1,,,
Write Back,5,lw,3,2,,7,10,,0,,,,,,,,
Fetch,6,,,,,,,,,,,,,,,,
Decode,7,lw,3,2,,6,7,,0,,,,,,,,
Execute,8,lw,3,2,,6,7,,0,,,,,,,,
Memory,9,lw,3,2,,6,7,,0,,,,,1,,,
Write Back,10,lw,3,2,,6,7,,0,,,,,,,,
Fetch,11,,,,,,,,,,,,,,,,
Decode,12,addi,19,0,,6,6,,1,,,,,,,,
Execute,13,addi,19,0,,6,6,,1,,,,,,,,
Memory,14,addi,19,0,,6,6,,1,,,,,,,,
Write Back,15,addi,19,0,,6,6,,1,,,,,,,,
Fetch,16,,,,,,,,,,,,,,,,
Decode,17,sw,35,2,,,7,6,0,,,,,,,,
Execute,18,sw,35,2,,,7,6,0,,,,,,,,
Memory,19,sw,35,2,,,7,6,0,,,,,,,,
Write Back,20,sw,35,2,,,7,6,0,,,,,,,,
Fetch,21,,,,,,,,,,,,,,,,
Decode,22,lw,3,2,,6,7,,4,,,,,,,,
Execute,23,lw,3,2,,6,7,,4,,,,,,,,
Memory,24,lw,3,2,,6,7,,4,,,,,1,,,
Write Back,25,lw,3,2,,6,7,,4,,,,,,,,
Fetch,26,,,,,,,,,,,,,,,,
Decode,27,addi,19,0,,6,6,,1,,,,,,,,
Execute,28,addi,19,0,,6,6,,1,,,,,,,,
Memory,29,addi,19,0,,6,6,,1,,,,,,,,
Write Back,30,addi,19,0,,6,6,,1,,,,,,,,
Fetch,31,,,,,,,,,,,,,,,,
Decode,32,sw,35,2,,,7,6,4,,,,,,,,
Execute,33,sw,35,2,,,7,6,4,,,,,,,,
Memory,34,sw,35,2,,,7,6,4,,,,,,,,
Write Back,35,sw,35,2,,,7,6,4,,,,,,,,
Fetch,36,,,,,,,,,,,,,,,,
Decode,37,lw,3,2,,6,7,,8,,,,,,,,
Execute,38,lw,3,2,,6,7,,8,,,,,,,,
Memory,39,lw,3,2,,6,7,,8,,,,,1,,,
Write Back,40,lw,3,2,,6,7,,8,,,,,,,,
Fetch,41,,,,,,,,,,,,,,,,
Decode,42,addi,19,0,,6,6,,1,,,,,,,,
Execute,43,addi,19,0,,6,6,,1,,,,,,,,
Memory,44,addi,19,0,,6,6,,1,,,,,,,,
Write Back,45,addi,19,0,,6,6,,1,,,,,,,,
Fetch,46,,,,,,,,,,,,,,,,
Decode,47,sw,35,2,,,7,6,8,,,,,,,,
Execute,48,sw,35,2,,,7,6,8,,,,,,,,
Memory,49,sw,35,2,,,7,6,8,,,,,,,,
Write Back,50,sw,35,2,,,7,6,8,,,,,,,,
